Date,Log Return
2021-07-15,-0.004492064880052826
2021-07-16,-0.014075971268078136
2021-07-19,-0.02691430017480345
2021-07-20,0.02597390931874677
2021-07-21,-0.005131727164262467
2021-07-22,0.009628600228445139
2021-07-23,0.011989306899666596
2021-07-26,0.002894391146890607
2021-07-27,-0.014900365369574176
2021-07-28,-0.01219594815669034
2021-07-29,0.004552363343500954
2021-07-30,0.0015105071811014614
2021-08-02,-0.002330937782330511
2021-08-03,0.012644376629212806
2021-08-04,-0.0027823782848117595
2021-08-05,0.0007485208190023407
2021-08-06,-0.004767137268813504
2021-08-09,-0.0003420129341349387
2021-08-10,-0.003354074675998575
2021-08-11,0.001785655005532405
2021-08-12,0.02077324041823614
2021-08-13,0.0014106053661935292
2021-08-16,0.013547782504947481
2021-08-17,-0.006153924821784229
2021-08-18,-0.025501037881203392
2021-08-19,0.0023230753276737293
2021-08-20,0.01015679252026258
2021-08-23,0.010257121399568137
2021-08-24,-0.0006013953729879784
2021-08-25,-0.00842120662980328
2021-08-26,-0.005527072852049453
2021-08-27,0.007184438852455344
2021-08-30,0.03041734465180057
2021-08-31,-0.008424848659040252
2021-09-01,0.004478661951204277
2021-09-02,0.007475060589776872
2021-09-03,0.0042303533916963065
2021-09-07,0.01548938347138007
2021-09-08,-0.01008373773793958
2021-09-09,-0.0067048954807603645
2021-09-10,-0.0331017540690558
2021-09-13,0.00389330376139152
2021-09-14,-0.009562114269010213
2021-09-15,0.006143776082963015
2021-09-16,-0.0016103844647012977
2021-09-17,-0.018347915796774417
2021-09-20,-0.021361006125457105
2021-09-21,0.0034276654786304928
2021-09-22,0.0168726518584279
2021-09-23,0.006719186875379757
2021-09-24,0.0006127720781412549
2021-09-27,-0.010549988920280029
2021-09-28,-0.023801191282592504
2021-09-29,0.006483025595623193
2021-09-30,-0.009311799576775526
2021-10-01,0.008127072440459626
2021-10-04,-0.024605511774487554
2021-10-05,0.014158237221636893
2021-10-06,0.006307389113983097
2021-10-07,0.009084162488999903
2021-10-08,-0.002721770706502369
2021-10-11,-0.0006297322829895702
2021-10-12,-0.009102918642422075
2021-10-13,-0.004239959656312853
2021-10-14,0.020225618563356917
2021-10-15,0.007512543927839399
2021-10-18,0.011806034025124701
2021-10-19,0.015080309414660764
2021-10-20,0.003360927500095867
2021-10-21,0.0014741433462599485
2021-10-22,-0.005284955172981554
2021-10-25,-0.00033635448470570317
2021-10-26,0.004574883108816152
2021-10-27,-0.0031476089748658787
2021-10-28,0.024991607932535853
2021-10-29,-0.018155657598523556
2021-11-01,-0.005607425160259472
2021-11-02,0.007116054244955539
2021-11-03,0.009798628216675542
2021-11-04,-0.00349860537426272
2021-11-05,0.0035823687337481758
2021-11-08,-0.0055527044108997226
2021-11-09,0.0024594884791171445
2021-11-10,-0.019163075717580802
2021-11-11,-0.0003381321988827901
2021-11-12,0.014337018530070189
2021-11-15,6.671362923582613e-05
2021-11-16,0.006666511592589908
2021-11-17,0.01649009948661595
2021-11-18,0.02853593542049082
2021-11-19,0.016976014978407283
2021-11-22,0.0029275810707025673
2021-11-23,0.002422076723883837
2021-11-24,0.0032836578741224365
2021-11-26,-0.03167857172688038
2021-11-29,0.021873539476862103
2021-11-30,0.03157782455860314
2021-12-01,-0.003206290544729984
2021-12-02,-0.006129840869480319
2021-12-03,-0.011724537522640577
2021-12-06,0.02150275788892242
2021-12-07,0.0354463290871847
2021-12-08,0.02278311178683401
2021-12-09,-0.0029701215308307605
2021-12-10,0.02801328424357541
2021-12-13,-0.020674193567175925
2021-12-14,-0.008023260309154345
2021-12-15,0.02850925822162198
2021-12-16,-0.03926398228682726
2021-12-17,-0.006501842557542492
2021-12-20,-0.008121797959441901
2021-12-21,0.01908675023420625
2021-12-22,0.015318891071725238
2021-12-23,0.003643778054474467
2021-12-27,0.0229749052906858
2021-12-28,-0.005767217374086475
2021-12-29,0.0005019572474738165
2021-12-30,-0.006578296249548532
2021-12-31,-0.003535279695172089
2022-01-03,0.025004157130801508
2022-01-04,-0.012691598505501722
2022-01-05,-0.02659974802867815
2022-01-06,-0.016693621768298583
2022-01-07,0.0009885558264606242
2022-01-10,0.00011614906826751259
2022-01-11,0.01678377822514121
2022-01-12,0.0025702248806303007
2022-01-13,-0.019028051390756584
2022-01-14,0.005110768883591632
2022-01-18,-0.0188942364865351
2022-01-19,-0.021024838203975826
2022-01-20,-0.010346960065555355
2022-01-21,-0.01276519407349963
2022-01-24,-0.00486430632457302
2022-01-25,-0.011384763601244186
2022-01-26,-0.000563152816913659
2022-01-27,-0.002943250741419434
2022-01-28,0.06977766815351272
2022-01-31,0.026125724918703908
2022-02-01,-0.0009725681947598819
2022-02-02,0.007044097175090025
2022-02-03,-0.016719659618985694
2022-02-04,-0.0016793178537980458
2022-02-07,-0.004234564960406417
2022-02-08,0.01846671648406062
2022-02-09,0.008293769158294939
2022-02-10,-0.023598802590758194
2022-02-11,-0.020218447205916257
2022-02-14,0.0014230647916402273
2022-02-15,0.023152549231993502
2022-02-16,-0.0013888862976279004
2022-02-17,-0.02126929289543167
2022-02-18,-0.009355719503125082
2022-02-22,-0.017812189310942972
2022-02-23,-0.025864171781949552
2022-02-24,0.016680150652371717
2022-02-25,0.012965433528617787
2022-02-28,0.0016377430156131467
2022-03-01,-0.011627770764732981
2022-03-02,0.020588132377193036
2022-03-03,-0.0019812994529928574
2022-03-04,-0.01840816966190828
2022-03-07,-0.023717483317764465
2022-03-08,-0.011676275233026834
2022-03-09,0.03499765012392908
2022-03-10,-0.027186404329581193
2022-03-11,-0.023908571322323047
